"REF_DATE","GEO","DGUID","Alternative measures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2005-01","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","1.9","","","","1"
"2005-02","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","1.9","","","","1"
"2005-03","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","1.9","","","","1"
"2005-04","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","1.9","","","","1"
"2005-05","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","1.9","","","","1"
"2005-06","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.0","","","","1"
"2005-07","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.0","","","","1"
"2005-08","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.0","","","","1"
"2005-09","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.0","","","","1"
"2005-10","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","1.9","","","","1"
"2005-11","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","1.9","","","","1"
"2005-12","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","1.9","","","","1"
"2006-01","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.0","","","","1"
"2006-02","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.0","","","","1"
"2006-03","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.0","","","","1"
"2006-04","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","1.9","","","","1"
"2006-05","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","1.9","","","","1"
"2006-06","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","1.9","","","","1"
"2006-07","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","1.9","","","","1"
"2006-08","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.0","","","","1"
"2006-09","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.1","","","","1"
"2006-10","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.1","","","","1"
"2006-11","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.2","","","","1"
"2006-12","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.1","","","","1"
"2007-01","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.1","","","","1"
"2007-02","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.1","","","","1"
"2007-03","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.1","","","","1"
"2007-04","Canada","2016A000011124","Measure of core inflation based on a factor model, CPI-common (year-over-year percent change)","Percent","239","units","0","v108785713","1.1","2.2","","","","1"
